Year,Crop,Yield_kg_per_ha
2020,Eggplants (aubergines)                                                                                                          ,17045.7
2021,Eggplants (aubergines)                                                                                                          ,17188.3
2022,Eggplants (aubergines)                                                                                                          ,18911.1
2023,Eggplants (aubergines)                                                                                                          ,18784.1
1961,Figs                                                                                                                            ,2222.2
1962,Figs                                                                                                                            ,2222.2
1963,Figs                                                                                                                            ,2222.2
1964,Figs                                                                                                                            ,2222.2
1965,Figs                                                                                                                            ,2222.2
1966,Figs                                                                                                                            ,2222.2
1967,Figs                                                                                                                            ,2222.2
1968,Figs                                                                                                                            ,2222.2
1969,Figs                                                                                                                            ,2222.2
1970,Figs                                                                                                                            ,2222.2
1971,Figs                                                                                                                            ,2222.2
1972,Figs                                                                                                                            ,2222.2
1973,Figs                                                                                                                            ,2222.2
1974,Figs                                                                                                                            ,2222.2
1975,Figs                                                                                                                            ,2222.2
1976,Figs                                                                                                                            ,2247.2
1977,Figs                                                                                                                            ,2272.7
1978,Figs                                                                                                                            ,2298.9
1979,Figs                                                                                                                            ,2298.9
1980,Figs                                                                                                                            ,2298.9
1981,Figs                                                                                                                            ,2298.9
1982,Figs                                                                                                                            ,2298.9
1983,Figs                                                                                                                            ,2298.9
1984,Figs                                                                                                                            ,2298.9
1985,Figs                                                                                                                            ,2307.7
1986,Figs                                                                                                                            ,2298.9
1987,Figs                                                                                                                            ,2352.9
1988,Figs                                                                                                                            ,2272.7
1989,Figs                                                                                                                            ,2250.0
1990,Figs                                                                                                                            ,2285.7
1991,Figs                                                                                                                            ,2272.7
1992,Figs                                                                                                                            ,2291.7
1993,Figs                                                                                                                            ,2307.7
1994,Figs                                                                                                                            ,2299.5
1995,Figs                                                                                                                            ,2299.1
1996,Figs                                                                                                                            ,2297.4
1997,Figs                                                                                                                            ,2300.9
1998,Figs                                                                                                                            ,2304.4
1999,Figs                                                                                                                            ,2307.8
2000,Figs                                                                                                                            ,2311.3
2001,Figs                                                                                                                            ,2314.8
2002,Figs                                                                                                                            ,2318.3
2003,Figs                                                                                                                            ,2321.7
2004,Figs                                                                                                                            ,2333.7
2005,Figs                                                                                                                            ,2354.2
2006,Figs                                                                                                                            ,2374.7
2007,Figs                                                                                                                            ,2395.2
2008,Figs                                                                                                                            ,2415.7
2009,Figs                                                                                                                            ,2436.2
2010,Figs                                                                                                                            ,2456.7
2011,Figs                                                                                                                            ,2477.2
2012,Figs                                                                                                                            ,2497.7
2013,Figs                                                                                                                            ,2518.2
2014,Figs                                                                                                                            ,2525.9
2015,Figs                                                                                                                            ,2530.3
2016,Figs                                                                                                                            ,2540.7
2017,Figs                                                                                                                            ,2552.3
2018,Figs                                                                                                                            ,2560.8
2019,Figs                                                                                                                            ,2568.9
2020,Figs                                                                                                                            ,2584.0
2021,Figs                                                                                                                            ,2523.3
2022,Figs                                                                                                                            ,2516.7
2023,Figs                                                                                                                            ,2507.8
1961,"Ginger, raw                                                                                                                     ",904.8
1962,"Ginger, raw                                                                                                                     ",952.4
1963,"Ginger, raw                                                                                                                     ",913.0
1964,"Ginger, raw                                                                                                                     ",913.0
1965,"Ginger, raw                                                                                                                     ",956.5
1966,"Ginger, raw                                                                                                                     ",913.0
1967,"Ginger, raw                                                                                                                     ",952.4
1968,"Ginger, raw                                                                                                                     ",900.0
1969,"Ginger, raw                                                                                                                     ",1000.0
1970,"Ginger, raw                                                                                                                     ",1363.6
1971,"Ginger, raw                                                                                                                     ",1411.5
1972,"Ginger, raw                                                                                                                     ",1469.8
1973,"Ginger, raw                                                                                                                     ",1547.1
1974,"Ginger, raw                                                                                                                     ",1570.4
1975,"Ginger, raw                                                                                                                     ",1659.9
1976,"Ginger, raw                                                                                                                     ",1691.6
1977,"Ginger, raw                                                                                                                     ",1990.6
1978,"Ginger, raw                                                                                                                     ",1956.6
1979,"Ginger, raw                                                                                                                     ",1808.2
1980,"Ginger, raw                                                                                                                     ",2038.1
1981,"Ginger, raw                                                                                                                     ",2136.6
1982,"Ginger, raw                                                                                                                     ",2148.5
1983,"Ginger, raw                                                                                                                     ",2477.7
1984,"Ginger, raw                                                                                                                     ",2411.5
1985,"Ginger, raw                                                                                                                     ",2578.8
1986,"Ginger, raw                                                                                                                     ",2583.3
1987,"Ginger, raw                                                                                                                     ",2633.5
1988,"Ginger, raw                                                                                                                     ",2923.1
1989,"Ginger, raw                                                                                                                     ",2891.1
1990,"Ginger, raw                                                                                                                     ",2851.9
1991,"Ginger, raw                                                                                                                     ",3050.0
1992,"Ginger, raw                                                                                                                     ",3365.6
1993,"Ginger, raw                                                                                                                     ",3073.6
1994,"Ginger, raw                                                                                                                     ",1956.6
1995,"Ginger, raw                                                                                                                     ",1900.0
1996,"Ginger, raw                                                                                                                     ",3307.3
1997,"Ginger, raw                                                                                                                     ",3315.8
1998,"Ginger, raw                                                                                                                     ",3371.8
1999,"Ginger, raw                                                                                                                     ",3391.8
2000,"Ginger, raw                                                                                                                     ",3357.1
2001,"Ginger, raw                                                                                                                     ",3264.9
2002,"Ginger, raw                                                                                                                     ",3201.6
2003,"Ginger, raw                                                                                                                     ",3176.9
2004,"Ginger, raw                                                                                                                     ",3547.6
2005,"Ginger, raw                                                                                                                     ",3767.1
2006,"Ginger, raw                                                                                                                     ",3537.1
2007,"Ginger, raw                                                                                                                     ",3707.8
2008,"Ginger, raw                                                                                                                     ",3737.8
2009,"Ginger, raw                                                                                                                     ",3498.7
2010,"Ginger, raw                                                                                                                     ",3583.1
2011,"Ginger, raw                                                                                                                     ",4708.2
2012,"Ginger, raw                                                                                                                     ",4877.4
2013,"Ginger, raw                                                                                                                     ",5022.1
2014,"Ginger, raw                                                                                                                     ",4924.8
2015,"Ginger, raw                                                                                                                     ",5352.1
2016,"Ginger, raw                                                                                                                     ",6721.2
2017,"Ginger, raw                                                                                                                     ",6369.0
2018,"Ginger, raw                                                                                                                     ",10678.8
2019,"Ginger, raw                                                                                                                     ",10902.4
2020,"Ginger, raw                                                                                                                     ",10494.4
2021,"Ginger, raw                                                                                                                     ",10853.7
2022,"Ginger, raw                                                                                                                     ",11497.4
2023,"Ginger, raw                                                                                                                     ",11523.6
1961,Grapes                                                                                                                          ,15909.1
1962,Grapes                                                                                                                          ,16304.3
1963,Grapes                                                                                                                          ,16000.0
1964,Grapes                                                                                                                          ,16071.4
1965,Grapes                                                                                                                          ,16129.0
1966,Grapes                                                                                                                          ,16176.5
1967,Grapes                                                                                                                          ,16197.2
1968,Grapes                                                                                                                          ,16216.2
1969,Grapes                                                                                                                          ,16025.6
1970,Grapes                                                                                                                          ,16250.0
1971,Grapes                                                                                                                          ,16071.4
1972,Grapes                                                                                                                          ,16046.5
1973,Grapes                                                                                                                          ,16092.0
1974,Grapes                                                                                                                          ,17307.7
1975,Grapes                                                                                                                          ,16666.7
1976,Grapes                                                                                                                          ,18705.9
1977,Grapes                                                                                                                          ,16110.2
1978,Grapes                                                                                                                          ,18526.8
1979,Grapes                                                                                                                          ,19054.4
1980,Grapes                                                                                                                          ,19144.7
1981,Grapes                                                                                                                          ,19205.9
1982,Grapes                                                                                                                          ,21872.3
1983,Grapes                                                                                                                          ,19669.7
1984,Grapes                                                                                                                          ,21823.2
1985,Grapes                                                                                                                          ,22000.0
1986,Grapes                                                                                                                          ,20800.0
1987,Grapes                                                                                                                          ,16312.6
1988,Grapes                                                                                                                          ,19492.1
1989,Grapes                                                                                                                          ,15054.9
1990,Grapes                                                                                                                          ,16260.5
1991,Grapes                                                                                                                          ,16619.5
1992,Grapes                                                                                                                          ,19205.0
1993,Grapes                                                                                                                          ,20000.0
1994,Grapes                                                                                                                          ,17500.0
1995,Grapes                                                                                                                          ,17500.0
1996,Grapes                                                                                                                          ,20014.9
1997,Grapes                                                                                                                          ,21754.0
1998,Grapes                                                                                                                          ,24250.0
1999,Grapes                                                                                                                          ,25422.5
2000,Grapes                                                                                                                          ,28250.0
2001,Grapes                                                                                                                          ,21200.0
2002,Grapes                                                                                                                          ,24930.5
2003,Grapes                                                                                                                          ,23950.1
2004,Grapes                                                                                                                          ,25515.6
2005,Grapes                                                                                                                          ,25862.8
2006,Grapes                                                                                                                          ,24993.9
2007,Grapes                                                                                                                          ,25927.7
2008,Grapes                                                                                                                          ,25514.7
2009,Grapes                                                                                                                          ,23475.0
2010,Grapes                                                                                                                          ,8277.3
2011,Grapes                                                                                                                          ,11126.1
2012,Grapes                                                                                                                          ,19146.6
2013,Grapes                                                                                                                          ,21042.4
2014,Grapes                                                                                                                          ,21773.1
2015,Grapes                                                                                                                          ,21683.3
2016,Grapes                                                                                                                          ,21229.5
2017,Grapes                                                                                                                          ,21328.5
2018,Grapes                                                                                                                          ,21007.2
2019,Grapes                                                                                                                          ,21721.4
2020,Grapes                                                                                                                          ,21206.7
2021,Grapes                                                                                                                          ,21664.5
2022,Grapes                                                                                                                          ,20865.0
2023,Grapes                                                                                                                          ,22130.2
1961,Green garlic                                                                                                                    ,3714.3
1962,Green garlic                                                                                                                    ,3605.3
1963,Green garlic                                                                                                                    ,3600.0
1964,Green garlic                                                                                                                    ,3600.0
1965,Green garlic                                                                                                                    ,3600.0
1966,Green garlic                                                                                                                    ,3703.7
1967,Green garlic                                                                                                                    ,3703.7
1968,Green garlic                                                                                                                    ,3703.7
1969,Green garlic                                                                                                                    ,3703.7
1970,Green garlic                                                                                                                    ,3703.7
1971,Green garlic                                                                                                                    ,3666.7
1972,Green garlic                                                                                                                    ,3666.7
1973,Green garlic                                                                                                                    ,3636.4
1974,Green garlic                                                                                                                    ,2975.1
1975,Green garlic                                                                                                                    ,3532.7
1976,Green garlic                                                                                                                    ,3610.0
1977,Green garlic                                                                                                                    ,3212.0
1978,Green garlic                                                                                                                    ,3398.4
1979,Green garlic                                                                                                                    ,3443.9
1980,Green garlic                                                                                                                    ,3642.5
1981,Green garlic                                                                                                                    ,3796.7
1982,Green garlic                                                                                                                    ,3864.4
1983,Green garlic                                                                                                                    ,3853.8
1984,Green garlic                                                                                                                    ,3701.1
1985,Green garlic                                                                                                                    ,3286.0
1986,Green garlic                                                                                                                    ,3493.3
1987,Green garlic                                                                                                                    ,3400.2
1988,Green garlic                                                                                                                    ,3663.6
1989,Green garlic                                                                                                                    ,3895.8
1990,Green garlic                                                                                                                    ,3889.0
1991,Green garlic                                                                                                                    ,3931.1
1992,Green garlic                                                                                                                    ,4161.4
1993,Green garlic                                                                                                                    ,4015.7
1994,Green garlic                                                                                                                    ,4076.8
1995,Green garlic                                                                                                                    ,4247.5
1996,Green garlic                                                                                                                    ,4643.7
1997,Green garlic                                                                                                                    ,4452.2
1998,Green garlic                                                                                                                    ,4632.3
1999,Green garlic                                                                                                                    ,4169.2
2000,Green garlic                                                                                                                    ,4210.3
2001,Green garlic                                                                                                                    ,4140.0
2002,Green garlic                                                                                                                    ,4387.7
2003,Green garlic                                                                                                                    ,4098.7
2004,Green garlic                                                                                                                    ,4975.5
2005,Green garlic                                                                                                                    ,4487.2
2006,Green garlic                                                                                                                    ,4434.4
2007,Green garlic                                                                                                                    ,4876.3
2008,Green garlic                                                                                                                    ,5183.9
2009,Green garlic                                                                                                                    ,5000.3
2010,Green garlic                                                                                                                    ,5058.7
2011,Green garlic                                                                                                                    ,5273.2
2012,Green garlic                                                                                                                    ,5074.4
2013,Green garlic                                                                                                                    ,5076.6
2014,Green garlic                                                                                                                    ,5419.9
2015,Green garlic                                                                                                                    ,5438.9
2016,Green garlic                                                                                                                    ,5754.4
2017,Green garlic                                                                                                                    ,5274.1
2018,Green garlic                                                                                                                    ,5082.0
2019,Green garlic                                                                                                                    ,8128.5
2020,Green garlic                                                                                                                    ,8309.7
2021,Green garlic                                                                                                                    ,8137.8
2022,Green garlic                                                                                                                    ,8162.8
2023,Green garlic                                                                                                                    ,7994.0
1961,"Groundnuts, excluding shelled                                                                                                   ",724.9
1962,"Groundnuts, excluding shelled                                                                                                   ",695.3
1963,"Groundnuts, excluding shelled                                                                                                   ",769.4
1964,"Groundnuts, excluding shelled                                                                                                   ",814.0
1965,"Groundnuts, excluding shelled                                                                                                   ",553.8
1966,"Groundnuts, excluding shelled                                                                                                   ",604.3
1967,"Groundnuts, excluding shelled                                                                                                   ",758.8
1968,"Groundnuts, excluding shelled                                                                                                   ",653.3
1969,"Groundnuts, excluding shelled                                                                                                   ",720.0
1970,"Groundnuts, excluding shelled                                                                                                   ",834.1
1971,"Groundnuts, excluding shelled                                                                                                   ",822.9
1972,"Groundnuts, excluding shelled                                                                                                   ",585.4
1973,"Groundnuts, excluding shelled                                                                                                   ",844.6
1974,"Groundnuts, excluding shelled                                                                                                   ",712.8
1975,"Groundnuts, excluding shelled                                                                                                   ",935.4
1976,"Groundnuts, excluding shelled                                                                                                   ",747.4
1977,"Groundnuts, excluding shelled                                                                                                   ",866.1
1978,"Groundnuts, excluding shelled                                                                                                   ",835.2
1979,"Groundnuts, excluding shelled                                                                                                   ",805.0
1980,"Groundnuts, excluding shelled                                                                                                   ",735.9
1981,"Groundnuts, excluding shelled                                                                                                   ",972.3
1982,"Groundnuts, excluding shelled                                                                                                   ",732.1
1983,"Groundnuts, excluding shelled                                                                                                   ",939.8
1984,"Groundnuts, excluding shelled                                                                                                   ",897.9
1985,"Groundnuts, excluding shelled                                                                                                   ",718.8
1986,"Groundnuts, excluding shelled                                                                                                   ",841.5
1987,"Groundnuts, excluding shelled                                                                                                   ",855.3
1988,"Groundnuts, excluding shelled                                                                                                   ",1132.4
1989,"Groundnuts, excluding shelled                                                                                                   ",929.9
1990,"Groundnuts, excluding shelled                                                                                                   ",904.4
1991,"Groundnuts, excluding shelled                                                                                                   ",818.5
1992,"Groundnuts, excluding shelled                                                                                                   ",1048.9
1993,"Groundnuts, excluding shelled                                                                                                   ",940.9
1994,"Groundnuts, excluding shelled                                                                                                   ",1027.1
1995,"Groundnuts, excluding shelled                                                                                                   ",1007.3
1996,"Groundnuts, excluding shelled                                                                                                   ",1137.8
1997,"Groundnuts, excluding shelled                                                                                                   ",1039.5
1998,"Groundnuts, excluding shelled                                                                                                   ",1214.4
1999,"Groundnuts, excluding shelled                                                                                                   ",765.7
2000,"Groundnuts, excluding shelled                                                                                                   ",988.1
2001,"Groundnuts, excluding shelled                                                                                                   ",1126.5
2002,"Groundnuts, excluding shelled                                                                                                   ",694.3
2003,"Groundnuts, excluding shelled                                                                                                   ",1357.4
2004,"Groundnuts, excluding shelled                                                                                                   ",1020.2
2005,"Groundnuts, excluding shelled                                                                                                   ",1186.7
2006,"Groundnuts, excluding shelled                                                                                                   ",866.1
2007,"Groundnuts, excluding shelled                                                                                                   ",1459.4
2008,"Groundnuts, excluding shelled                                                                                                   ",1162.7
2009,"Groundnuts, excluding shelled                                                                                                   ",991.1
2010,"Groundnuts, excluding shelled                                                                                                   ",1410.4
2011,"Groundnuts, excluding shelled                                                                                                   ",1311.5
2012,"Groundnuts, excluding shelled                                                                                                   ",984.3
2013,"Groundnuts, excluding shelled                                                                                                   ",1720.6
2014,"Groundnuts, excluding shelled                                                                                                   ",1579.9
2015,"Groundnuts, excluding shelled                                                                                                   ",1476.5
2016,"Groundnuts, excluding shelled                                                                                                   ",1405.3
2017,"Groundnuts, excluding shelled                                                                                                   ",1397.8
2018,"Groundnuts, excluding shelled                                                                                                   ",1893.0
2019,"Groundnuts, excluding shelled                                                                                                   ",1422.0
2020,"Groundnuts, excluding shelled                                                                                                   ",2062.5
2021,"Groundnuts, excluding shelled                                                                                                   ",1703.1
2022,"Groundnuts, excluding shelled                                                                                                   ",1776.6
