Year,Crop,Yield_kg_per_ha
1977,Apples                                                                                                                          ,4139.9
1978,Apples                                                                                                                          ,4338.3
1979,Apples                                                                                                                          ,5078.0
1980,Apples                                                                                                                          ,4737.2
1981,Apples                                                                                                                          ,5632.9
1982,Apples                                                                                                                          ,6029.1
1983,Apples                                                                                                                          ,5977.4
1984,Apples                                                                                                                          ,5977.3
1985,Apples                                                                                                                          ,5977.3
1986,Apples                                                                                                                          ,7624.2
1987,Apples                                                                                                                          ,4831.1
1988,Apples                                                                                                                          ,5377.6
1989,Apples                                                                                                                          ,5808.0
1990,Apples                                                                                                                          ,5843.5
1991,Apples                                                                                                                          ,6068.0
1992,Apples                                                                                                                          ,5899.1
1993,Apples                                                                                                                          ,6108.3
1994,Apples                                                                                                                          ,6500.0
1995,Apples                                                                                                                          ,5714.3
1996,Apples                                                                                                                          ,5579.8
1997,Apples                                                                                                                          ,5875.1
1998,Apples                                                                                                                          ,5800.2
1999,Apples                                                                                                                          ,5974.0
2000,Apples                                                                                                                          ,4565.2
2001,Apples                                                                                                                          ,5125.0
2002,Apples                                                                                                                          ,4833.3
2003,Apples                                                                                                                          ,5880.0
2004,Apples                                                                                                                          ,7562.6
2005,Apples                                                                                                                          ,7537.9
2006,Apples                                                                                                                          ,8005.3
2007,Apples                                                                                                                          ,6444.4
2008,Apples                                                                                                                          ,7579.5
2009,Apples                                                                                                                          ,7244.5
2010,Apples                                                                                                                          ,6282.1
2011,Apples                                                                                                                          ,10000.0
2012,Apples                                                                                                                          ,6845.0
2013,Apples                                                                                                                          ,6137.8
2014,Apples                                                                                                                          ,7978.8
2015,Apples                                                                                                                          ,6689.7
2016,Apples                                                                                                                          ,9101.1
2017,Apples                                                                                                                          ,7426.2
2018,Apples                                                                                                                          ,7730.9
2019,Apples                                                                                                                          ,7519.5
2020,Apples                                                                                                                          ,9077.4
2021,Apples                                                                                                                          ,7271.6
2022,Apples                                                                                                                          ,8219.0
2023,Apples                                                                                                                          ,9460.5
1961,Apricots                                                                                                                        ,2758.6
1962,Apricots                                                                                                                        ,3074.1
1963,Apricots                                                                                                                        ,3035.7
1964,Apricots                                                                                                                        ,3034.5
1965,Apricots                                                                                                                        ,3066.7
1966,Apricots                                                                                                                        ,3064.5
1967,Apricots                                                                                                                        ,3062.5
1968,Apricots                                                                                                                        ,3029.4
1969,Apricots                                                                                                                        ,3000.0
1970,Apricots                                                                                                                        ,3000.0
1971,Apricots                                                                                                                        ,3142.9
1972,Apricots                                                                                                                        ,3000.0
1973,Apricots                                                                                                                        ,3055.6
1974,Apricots                                                                                                                        ,3026.3
1975,Apricots                                                                                                                        ,3166.7
1976,Apricots                                                                                                                        ,3030.3
1977,Apricots                                                                                                                        ,2963.0
1978,Apricots                                                                                                                        ,2963.0
1979,Apricots                                                                                                                        ,2916.7
1980,Apricots                                                                                                                        ,3250.0
1981,Apricots                                                                                                                        ,3000.0
1982,Apricots                                                                                                                        ,2941.2
1983,Apricots                                                                                                                        ,2894.7
1984,Apricots                                                                                                                        ,2941.2
1985,Apricots                                                                                                                        ,3000.0
1986,Apricots                                                                                                                        ,3000.0
1987,Apricots                                                                                                                        ,3000.0
1988,Apricots                                                                                                                        ,2900.0
1989,Apricots                                                                                                                        ,2941.2
1990,Apricots                                                                                                                        ,3000.0
1991,Apricots                                                                                                                        ,2952.4
1992,Apricots                                                                                                                        ,2954.5
1993,Apricots                                                                                                                        ,2956.5
1994,Apricots                                                                                                                        ,2916.7
1995,Apricots                                                                                                                        ,2897.7
1996,Apricots                                                                                                                        ,2896.8
1997,Apricots                                                                                                                        ,2887.8
1998,Apricots                                                                                                                        ,2877.3
1999,Apricots                                                                                                                        ,2866.9
2000,Apricots                                                                                                                        ,2856.4
2001,Apricots                                                                                                                        ,2846.0
2002,Apricots                                                                                                                        ,2835.5
2003,Apricots                                                                                                                        ,2825.1
2004,Apricots                                                                                                                        ,2820.4
2005,Apricots                                                                                                                        ,2821.6
2006,Apricots                                                                                                                        ,2822.8
2007,Apricots                                                                                                                        ,2824.0
2008,Apricots                                                                                                                        ,2825.1
2009,Apricots                                                                                                                        ,2826.3
2010,Apricots                                                                                                                        ,2827.5
2011,Apricots                                                                                                                        ,2828.7
2012,Apricots                                                                                                                        ,2829.9
2013,Apricots                                                                                                                        ,2831.0
2014,Apricots                                                                                                                        ,2823.1
2015,Apricots                                                                                                                        ,2825.2
2016,Apricots                                                                                                                        ,2820.7
2017,Apricots                                                                                                                        ,2815.4
2018,Apricots                                                                                                                        ,2808.0
2019,Apricots                                                                                                                        ,2802.2
2020,Apricots                                                                                                                        ,2805.2
2021,Apricots                                                                                                                        ,2808.2
2022,Apricots                                                                                                                        ,2806.5
2023,Apricots                                                                                                                        ,2846.8
1961,Areca nuts                                                                                                                      ,888.9
1962,Areca nuts                                                                                                                      ,888.9
1963,Areca nuts                                                                                                                      ,888.9
1964,Areca nuts                                                                                                                      ,888.9
1965,Areca nuts                                                                                                                      ,862.6
1966,Areca nuts                                                                                                                      ,868.6
1967,Areca nuts                                                                                                                      ,915.5
1968,Areca nuts                                                                                                                      ,918.4
1969,Areca nuts                                                                                                                      ,891.7
1970,Areca nuts                                                                                                                      ,856.9
1971,Areca nuts                                                                                                                      ,842.8
1972,Areca nuts                                                                                                                      ,863.5
1973,Areca nuts                                                                                                                      ,828.8
1974,Areca nuts                                                                                                                      ,907.3
1975,Areca nuts                                                                                                                      ,870.5
1976,Areca nuts                                                                                                                      ,901.4
1977,Areca nuts                                                                                                                      ,917.4
1978,Areca nuts                                                                                                                      ,1025.8
1979,Areca nuts                                                                                                                      ,1015.1
1980,Areca nuts                                                                                                                      ,1004.4
1981,Areca nuts                                                                                                                      ,1057.8
1982,Areca nuts                                                                                                                      ,1066.3
1983,Areca nuts                                                                                                                      ,1097.1
1984,Areca nuts                                                                                                                      ,1018.3
1985,Areca nuts                                                                                                                      ,1179.0
1986,Areca nuts                                                                                                                      ,1164.9
1987,Areca nuts                                                                                                                      ,1124.2
1988,Areca nuts                                                                                                                      ,1134.6
1989,Areca nuts                                                                                                                      ,1218.8
1990,Areca nuts                                                                                                                      ,1199.5
1991,Areca nuts                                                                                                                      ,1099.1
1992,Areca nuts                                                                                                                      ,1096.5
1993,Areca nuts                                                                                                                      ,1131.1
1994,Areca nuts                                                                                                                      ,1151.2
1995,Areca nuts                                                                                                                      ,1187.8
1996,Areca nuts                                                                                                                      ,1158.8
1997,Areca nuts                                                                                                                      ,1178.0
1998,Areca nuts                                                                                                                      ,1242.6
1999,Areca nuts                                                                                                                      ,1107.1
2000,Areca nuts                                                                                                                      ,1137.9
2001,Areca nuts                                                                                                                      ,1137.9
2002,Areca nuts                                                                                                                      ,1379.3
2003,Areca nuts                                                                                                                      ,1176.9
2004,Areca nuts                                                                                                                      ,1203.3
2005,Areca nuts                                                                                                                      ,1242.7
2006,Areca nuts                                                                                                                      ,1267.6
2007,Areca nuts                                                                                                                      ,1262.9
2008,Areca nuts                                                                                                                      ,1231.2
2009,Areca nuts                                                                                                                      ,1243.3
2010,Areca nuts                                                                                                                      ,1194.7
2011,Areca nuts                                                                                                                      ,1194.7
2012,Areca nuts                                                                                                                      ,1467.7
2013,Areca nuts                                                                                                                      ,1365.5
2014,Areca nuts                                                                                                                      ,1376.1
2015,Areca nuts                                                                                                                      ,1660.0
2016,Areca nuts                                                                                                                      ,1506.3
2017,Areca nuts                                                                                                                      ,1589.0
2018,Areca nuts                                                                                                                      ,1676.1
2019,Areca nuts                                                                                                                      ,1726.1
2020,Areca nuts                                                                                                                      ,1850.1
2021,Areca nuts                                                                                                                      ,1968.5
2022,Areca nuts                                                                                                                      ,1962.3
2023,Areca nuts                                                                                                                      ,1459.5
1961,Bananas                                                                                                                         ,13678.8
1962,Bananas                                                                                                                         ,13397.8
1963,Bananas                                                                                                                         ,13476.7
1964,Bananas                                                                                                                         ,13555.6
1965,Bananas                                                                                                                         ,15502.4
1966,Bananas                                                                                                                         ,16325.4
1967,Bananas                                                                                                                         ,15399.0
1968,Bananas                                                                                                                         ,14204.5
1969,Bananas                                                                                                                         ,13805.5
1970,Bananas                                                                                                                         ,12903.3
1971,Bananas                                                                                                                         ,15016.0
1972,Bananas                                                                                                                         ,14539.7
1973,Bananas                                                                                                                         ,14215.0
1974,Bananas                                                                                                                         ,13920.5
1975,Bananas                                                                                                                         ,14732.1
1976,Bananas                                                                                                                         ,15289.7
1977,Bananas                                                                                                                         ,15795.8
1978,Bananas                                                                                                                         ,16992.9
1979,Bananas                                                                                                                         ,15574.0
1980,Bananas                                                                                                                         ,14946.8
1981,Bananas                                                                                                                         ,15744.2
1982,Bananas                                                                                                                         ,14816.8
1983,Bananas                                                                                                                         ,16428.8
1984,Bananas                                                                                                                         ,17388.0
1985,Bananas                                                                                                                         ,17706.3
1986,Bananas                                                                                                                         ,19034.0
1987,Bananas                                                                                                                         ,19282.8
1988,Bananas                                                                                                                         ,11979.8
1989,Bananas                                                                                                                         ,19258.4
1990,Bananas                                                                                                                         ,19597.3
1991,Bananas                                                                                                                         ,20742.5
1992,Bananas                                                                                                                         ,20054.1
1993,Bananas                                                                                                                         ,22967.7
1994,Bananas                                                                                                                         ,24231.3
1995,Bananas                                                                                                                         ,23789.7
1996,Bananas                                                                                                                         ,23513.7
1997,Bananas                                                                                                                         ,29843.4
1998,Bananas                                                                                                                         ,32826.1
1999,Bananas                                                                                                                         ,34306.1
2000,Bananas                                                                                                                         ,30098.6
2001,Bananas                                                                                                                         ,30480.3
2002,Bananas                                                                                                                         ,27991.6
2003,Bananas                                                                                                                         ,27791.0
2004,Bananas                                                                                                                         ,28399.8
2005,Bananas                                                                                                                         ,33165.6
2006,Bananas                                                                                                                         ,34753.1
2007,Bananas                                                                                                                         ,36205.2
2008,Bananas                                                                                                                         ,36977.4
2009,Bananas                                                                                                                         ,34362.6
2010,Bananas                                                                                                                         ,35879.5
2011,Bananas                                                                                                                         ,35725.2
2012,Bananas                                                                                                                         ,34161.1
2013,Bananas                                                                                                                         ,34642.0
2014,Bananas                                                                                                                         ,37036.7
2015,Bananas                                                                                                                         ,35548.7
2016,Bananas                                                                                                                         ,34643.3
2017,Bananas                                                                                                                         ,35438.4
2018,Bananas                                                                                                                         ,34850.7
2019,Bananas                                                                                                                         ,35173.2
2020,Bananas                                                                                                                         ,36340.0
2021,Bananas                                                                                                                         ,35781.4
2022,Bananas                                                                                                                         ,35854.6
2023,Bananas                                                                                                                         ,36835.0
1961,Barley                                                                                                                          ,879.6
1962,Barley                                                                                                                          ,951.1
1963,Barley                                                                                                                          ,801.6
1964,Barley                                                                                                                          ,734.7
