year, Crop                                                                                                                              , Yield_kg_per_ha, rainfall_mean     , rainfall_std      , rainfall_total, rainfall_deviation
2012, Areca nuts                                                                                                                        ,          1467.7, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Areca nuts                                                                                                                        ,          1365.5, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Areca nuts                                                                                                                        ,          1376.1, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Areca nuts                                                                                                                        ,          1660.0, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Areca nuts                                                                                                                        ,          1506.3, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Areca nuts                                                                                                                        ,          1589.0, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Areca nuts                                                                                                                        ,          1676.1, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Areca nuts                                                                                                                        ,          1726.1, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Areca nuts                                                                                                                        ,          1850.1, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Areca nuts                                                                                                                        ,          1968.5, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, Areca nuts                                                                                                                        ,          1962.3, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, Areca nuts                                                                                                                        ,          1459.5, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Bananas                                                                                                                           ,         34362.6, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Bananas                                                                                                                           ,         35879.5, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Bananas                                                                                                                           ,         35725.2, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Bananas                                                                                                                           ,         34161.1, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Bananas                                                                                                                           ,         34642.0, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Bananas                                                                                                                           ,         37036.7, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Bananas                                                                                                                           ,         35548.7, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Bananas                                                                                                                           ,         34643.3, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Bananas                                                                                                                           ,         35438.4, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Bananas                                                                                                                           ,         34850.7, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Bananas                                                                                                                           ,         35173.2, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Bananas                                                                                                                           ,         36340.0, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Bananas                                                                                                                           ,         35781.4, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, Bananas                                                                                                                           ,         35854.6, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, Bananas                                                                                                                           ,         36835.0, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Barley                                                                                                                            ,          2393.5, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Barley                                                                                                                            ,          2171.7, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Barley                                                                                                                            ,          2357.4, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Barley                                                                                                                            ,          2519.4, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Barley                                                                                                                            ,          2518.0, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Barley                                                                                                                            ,          2717.1, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Barley                                                                                                                            ,          2281.5, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Barley                                                                                                                            ,          2440.7, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Barley                                                                                                                            ,          2662.8, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Barley                                                                                                                            ,          2694.9, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Barley                                                                                                                            ,          2837.2, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Barley                                                                                                                            ,          2920.5, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Barley                                                                                                                            ,          2795.7, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, Barley                                                                                                                            ,          3025.1, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, Barley                                                                                                                            ,          3044.5, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, "Beans, dry                                                                                                                      ",           405.0, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, "Beans, dry                                                                                                                      ",           444.5, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, "Beans, dry                                                                                                                      ",           393.6, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, "Beans, dry                                                                                                                      ",           413.2, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, "Beans, dry                                                                                                                      ",           441.8, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, "Beans, dry                                                                                                                      ",           423.0, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, "Beans, dry                                                                                                                      ",           414.0, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, "Beans, dry                                                                                                                      ",           413.7, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
